name,country_codes,countries
VANITY ENTERPRISES CORP.,RUS,Russia
VEDERSON ASSETS LTD,RUS,Russia
WALLNET DESIGN INC.,RUS,Russia
FUTURE INVESTMENTS GROUP INC.,RUS,Russia
QUINAM INTERNATIONAL CORP.,RUS,Russia
AMISSO TRADING CORPORATION,RUS,Russia
LIBERTY RUSSIAN ANTI-COMMUNIST FOUNDATION,RUS,Russia
WINDAR EQUITIES S.A.,RUS,Russia
EUROLINK TRADING CORPORATION,RUS,Russia
OLMAR SHIPPING & TRADING S.A.,RUS,Russia
LIBRA CAPITAL S.A.,RUS,Russia
BEDLEY ENTERPRISES INC.,RUS,Russia
SUNSHINE TRADING S.A.,RUS,Russia
IMAGE MEDIA LIMITED S.A.,RUS,Russia
EASTOCK FINANCIAL HOLDING CORPORATION,RUS,Russia
POLAR SHIPMANAGEMENT LTD.,RUS,Russia
"ADA RESEARCH, INC.",RUS,Russia
JESSA ENTERPRISES S.A.,RUS,Russia
MELVA GLOBAL LTD.,RUS,Russia
BOSPHORUS CONSULTING LTD.,RUS,Russia
Hundred Trees Holding Limited,RUS,Russia
POWER ENERGY GROUP LTD.,RUS,Russia
Montagnes Consulting Ltd.,RUS,Russia
TOTEM ASSOCIATES INC.,RUS,Russia
VIRTEK LTD,RUS,Russia
KEF LTD.,RUS,Russia
WORLD OCEAN GROUP LTD.,RUS,Russia
NASHTON HOLDINGS INC.,RUS,Russia
ORIENTAL TRANSPORT COMPANY INC.,RUS,Russia
Med Management Services Ltd,RUS,Russia
BRENNAN CONSULTANTS LTD.,RUS,Russia
KENDAL ENTERPRISES LTD.,RUS,Russia
PROfashion Ltd.,RUS,Russia
SMART LOGISTIC OPERATION GROUP LTD.,RUS,Russia
ELSTON PARTNERS LTD.,RUS,Russia
"FOCUS POINT, LLC",RUS,Russia
Adeline Industries Ltd,RUS,Russia
WESTPARK BUSINESS LTD.,RUS,Russia
Skynet Ltd.,RUS,Russia
"SVK CONSTRUCTIONS, INC.",RUS,Russia
CARAVAN INVESTMENTS LTD.,RUS,Russia
MORINGTON PREMIUM LTD.,RUS,Russia
Adelaide Solutions Ltd.,RUS,Russia
Meridal Investments Ltd.,RUS,Russia
AKSU MANAGEMENT LTD.,RUS,Russia
HIGHMARK TECHNOLOGIES LTD.,RUS,Russia
The FlyLabs Corp.,RUS,Russia
Luxury StBarth Company,RUS,Russia
Tridis Limited,RUS,Russia
ALTON LIMITED,RUS,Russia
Omega SatTV Ltd,RUS,Russia
